Exercise,primary,secondary
cable-reverse-fly,front_traps,
cable-chest-fly-low-to-high,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-kneeling-fire-hydrant,front_hip_abductors,"back_glutes (40.0%), front_hip_flexors (40.0%)"
half-kneeling-cable-trunk-rotation,front_obliques,front_abs (40.0%)
alternating-cable-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-staggered-stance-row,back_lats,front_biceps (40.0%)
split-stance-cable-decline-press,front_chest,back_hamstrings (40.0%)
cable-straight-arm-pulldown,back_lats,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-leg-extension,front_quads,
cable-band-knee-drive,front_hip_flexors,
cable-trunk-rotation,front_obliques,front_abs (40.0%)
half-kneeling-cable-pallof-circle,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-cable-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-arm-half-kneeling-cable-row,back_lats,front_biceps (40.0%)
cable-lumberjack,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-lumberjack-squat-high-to-low,front_obliques,"back_hamstrings (40.0%), front_quads (40.0%), front_shoulders (40.0%)"
seated-cable-hammer-curl,front_biceps,
cable-chest-supported-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
cable-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
half-kneeling-cable-row,back_lats,front_biceps (40.0%)
half-kneeling-cable-overhead-press,front_shoulders,
cable-hammer-lat-pulldown,back_lats,front_biceps (40.0%)
cable-shrug,front_traps,
alternating-cable-overhead-press,front_shoulders,
cable-floor-overhead-row,back_lats,
cable-tricep-pushdown,back_hamstrings,
alternating-cable-curl,front_biceps,
cable-curl,front_biceps,
cable-overhead-press,front_shoulders,
half-kneeling-cable-lumberjack-high-to-low,front_obliques,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-cable-overhead-press,front_shoulders,
cable-front-raise,front_shoulders,
cable-row,back_lats,front_biceps (40.0%)
cable-high-row,front_shoulders,"back_lats (40.0%), front_traps (40.0%)"
cable-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
seated-cable-wide-row,back_lats,front_biceps (40.0%)
cable-plank-overhead-row,front_abs,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
single-arm-split-stance-row,back_lats,front_biceps (40.0%)
cable-external-rotation,front_shoulders,
